product_id,product_name,category,price
P301,Laptop,Electronics,60000
P302,Smartphone,Electronics,25000
P303,Headphones,Accessories,2000
P304,Office Chair,Furniture,8000
P305,Desk Table,Furniture,12000
P306,Smartwatch,Electronics,15000
P307,Backpack,Lifestyle,1800
P308,Printer,Electronics,10000
P309,Tablet,Electronics,30000
P310,Gaming Mouse,Accessories,1500
P311,Arrow Laptop Basic,Electronics,50000
P312,Raymond Laptop Modern,Electronics,30000
P313,Adidas Laptop Mini,Electronics,8000
P314,Dell Smartphone Lite,Electronics,1000
P315,Titan Smartphone Classic,Electronics,2000
P316,Philips Smartphone Plus,Electronics,3000
P317,OnePlus Tablet Elite,Electronics,60000
P318,Sony Tablet Premium,Electronics,10000
P319,Mi Tablet Premium,Electronics,500
P320,HP Smartwatch Smart,Electronics,20000
P321,Arrow Smartwatch Lite,Electronics,15000
P322,Adidas Smartwatch Elite,Electronics,3000
P323,Bosch Earbuds Premium,Electronics,3000
P324,Samsung Earbuds Premium,Electronics,2000
P325,Adidas Earbuds Classic,Electronics,15000
P326,Titan Camera Mini,Electronics,3000
P327,Whirlpool Camera Premium,Electronics,500
P328,Dell Camera Standard,Electronics,20000
P329,Philips Drone Modern,Electronics,25000
P330,Samsung Drone Modern,Electronics,15000
P331,HP Drone Ultra,Electronics,1000
P332,Nike Gaming Console Lite,Electronics,80000
P333,Levi Gaming Console Classic,Electronics,1500
P334,Sony Gaming Console Smart,Electronics,2500
P335,Dell Monitor Plus,Electronics,10000
P336,Philips Monitor Premium,Electronics,50000
P337,Arrow Monitor Ultra,Electronics,5000
P338,Puma Keyboard Essential,Electronics,60000
P339,Mi Keyboard Lite,Electronics,8000
P340,Asus Keyboard Ultra,Electronics,1500
P341,Lenovo Mouse Ultra,Electronics,8000
P342,Samsung Mouse Pro,Electronics,1500
P343,Arrow Mouse Basic,Electronics,1000
P344,Nike USB Hub Classic,Electronics,20000
P345,Sony USB Hub Lite,Electronics,8000
P346,Apple USB Hub Max,Electronics,80000
P347,Whirlpool Webcam Basic,Electronics,80000
P348,Arrow Webcam Ultra,Electronics,80000
P349,Dell Webcam Smart,Electronics,50000
P350,Whirlpool Power Bank Advanced,Electronics,50000
P351,HP Power Bank Mini,Electronics,50000
P352,Levi Power Bank Elite,Electronics,60000
P353,Apple Bluetooth Speaker Elite,Electronics,20000
P354,HP Bluetooth Speaker Smart,Electronics,2000
P355,Raymond Bluetooth Speaker Ultra,Electronics,5000
P356,Whirlpool Office Chair Plus,Furniture,50000
P357,Arrow Office Chair Plus,Furniture,10000
P358,Bosch Office Chair Essential,Furniture,8000
P359,Sony Standing Desk Lite,Furniture,1000
P360,Bosch Standing Desk Advanced,Furniture,500
P361,Arrow Standing Desk Lite,Furniture,8000
P362,LG Bookshelf Essential,Furniture,5000
P363,OnePlus Bookshelf Classic,Furniture,30000
P364,Philips Bookshelf Modern,Furniture,1000
P365,LG Filing Cabinet Elite,Furniture,10000
P366,Mi Filing Cabinet Modern,Furniture,60000
P367,Samsung Filing Cabinet Max,Furniture,50000
P368,Arrow Sofa Ultra,Furniture,15000
P369,Philips Sofa Ultra,Furniture,1000
P370,Dell Sofa Standard,Furniture,1000
P371,Lenovo Coffee Table Standard,Furniture,80000
P372,Apple Coffee Table Premium,Furniture,3000
P373,Levi Coffee Table Pro,Furniture,1500
P374,LG Wardrobe Advanced,Furniture,8000
P375,Sony Wardrobe Elite,Furniture,2000
P376,Levi Wardrobe Modern,Furniture,8000
P377,Levi Bed Frame Elite,Furniture,20000
P378,Apple Bed Frame Modern,Furniture,10000
P379,Sony Bed Frame Ultra,Furniture,20000
P380,Nike Dining Table Plus,Furniture,15000
P381,Adidas Dining Table Essential,Furniture,20000
P382,Mi Dining Table Modern,Furniture,1500
P383,Samsung Study Table Lite,Furniture,5000
P384,Bosch Study Table Premium,Furniture,10000
P385,HP Study Table Plus,Furniture,25000
P386,Sony Headphones Max,Accessories,3000
P387,Nike Headphones Essential,Accessories,15000
P388,Asus Headphones Standard,Accessories,500
P389,Arrow Laptop Bag Modern,Accessories,2500
P390,Puma Laptop Bag Max,Accessories,2000
P391,HP Laptop Bag Modern,Accessories,2000
P392,Arrow Mouse Pad Max,Accessories,5000
P393,Dell Mouse Pad Basic,Accessories,20000
P394,Adidas Mouse Pad Ultra,Accessories,10000
P395,Titan Phone Case Modern,Accessories,1000
P396,Philips Phone Case Lite,Accessories,50000
P397,Adidas Phone Case Classic,Accessories,10000
P398,Apple Screen Protector Smart,Accessories,2500
P399,Samsung Screen Protector Advanced,Accessories,10000
P400,Lenovo Screen Protector Plus,Accessories,60000
P401,Arrow Cable Organizer Pro,Accessories,2000
P402,OnePlus Cable Organizer Lite,Accessories,2500
P403,Raymond Cable Organizer Premium,Accessories,1000
P404,Asus Desk Lamp Plus,Accessories,50000
P405,Levi Desk Lamp Plus,Accessories,1000
P406,Arrow Desk Lamp Max,Accessories,25000
P407,Apple Laptop Stand Advanced,Accessories,8000
P408,Asus Laptop Stand Advanced,Accessories,2000
P409,Whirlpool Laptop Stand Mini,Accessories,50000
P410,Raymond Cable Classic,Accessories,3000
P411,Dell Cable Smart,Accessories,3000
P412,Nike Cable Modern,Accessories,50000
P413,Samsung Charger Smart,Accessories,50000
P414,LG Charger Smart,Accessories,8000
P415,Lenovo Charger Max,Accessories,3000
P416,HP T-Shirt Classic,Clothing,80000
P417,Mi T-Shirt Ultra,Clothing,5000
P418,Apple T-Shirt Classic,Clothing,60000
P419,Asus Formal Shirt Ultra,Clothing,500
P420,Puma Formal Shirt Advanced,Clothing,5000
P421,Nike Formal Shirt Elite,Clothing,20000
P422,Adidas Jeans Mini,Clothing,30000
P423,Sony Jeans Advanced,Clothing,20000
P424,Raymond Jeans Pro,Clothing,2000
P425,Adidas Trousers Pro,Clothing,2000
P426,LG Trousers Standard,Clothing,50000
P427,Raymond Trousers Mini,Clothing,20000
P428,OnePlus Jacket Elite,Clothing,5000
P429,Titan Jacket Max,Clothing,1000
P430,HP Jacket Basic,Clothing,50000
P431,Samsung Kurta Advanced,Clothing,5000
P432,Titan Kurta Mini,Clothing,50000
P433,Arrow Kurta Lite,Clothing,20000
P434,Raymond Saree Basic,Clothing,15000
P435,Lenovo Saree Premium,Clothing,15000
P436,HP Saree Advanced,Clothing,50000
P437,Lenovo Blazer Premium,Clothing,2500
P438,Mi Blazer Ultra,Clothing,50000
P439,Puma Blazer Advanced,Clothing,30000
P440,LG Shorts Elite,Clothing,500
P441,Levi Shorts Max,Clothing,15000
P442,Puma Shorts Ultra,Clothing,50000
P443,Levi Hoodie Essential,Clothing,60000
